"family","species","counts"
"Acrospermaceae","Gonatophragmium lichenophilum",6
"Adelococcaceae","Sagediopsis lomnitzensis",50
"Antennulariellaceae","Antennulariella lichenisata",44
"Arthopyreniaceae","Mycoglaena myricae",682
"Ascodichaenaceae","Ascodichaena rugosa",NA
"Biatorellaceae","Biatorella fossarum",58
"Clavicipitaceae","Neobarya peltigerae",4
"Coccodiniaceae","Dennisiella babingtonii",NA
"Crittendeniaceae","Crittendenia absistentis",6
"Cucurbitariaceae","Pyrenochaeta xanthoriae",6
"Cystobasidiaceae","Chionosphaera coppinsii",NA
"Dictyosporiaceae","Verrucoccum coppinsii",14
"Didymellaceae","Leptosphaerulina peltigerae",2
"Endococcaceae","Endococcus propinquus",160
"Epigloeaceae","Epigloea medioincrassata",40
"Halosphaeriaceae","Cirrenalia lichenicola",NA
"Helminthosphaeriaceae","Endophragmiella hughesii",6
"Hyaloscyphaceae","Protounguicularia nephromatis",8
"Hyponectriaceae","Exarmidium hemisphaericum",NA
"Leptosphaeriaceae","Leptosphaeria clarkii",2
"Lichinodiaceae","Lichinodium sirosiphoideum",12
"Malmideaceae","Zhurbenkoa epicladonia",14
"Microascaceae","Graphium aphthosae",4
"Microthyriaceae","Lichenopeltella peltigericola",30
"Mycosphaerellaceae","Stigmidium microspilum",1056
"Obryzaceae","Obryzum corniculatum",14
"Odontotremataceae","Xerotrema quercicola",268
"Phacidiaceae","Bulgaria inquinans",NA
"Phyllachoraceae","Lichenochora obscuroides",228
"Pleomassariaceae","Splanchnonema scoriadea",NA
"Pseudoperisporiaceae","Myxophora leptogiophila",44
"Rhizodiscinaceae","Rhizodiscina lignyota",NA
"Saccotheciaceae","Pseudoseptoria usneae",2
"Sarcopyreniaceae","Sarcopyrenia geisleri",1881
"Scytonemataceae","Scytonema hofmannii",NA
"Seuratiaceae","Seuratia millardetii",NA
"Trentepohliaceae","Trentepohlia jolithus",NA
"Trichosphaeriaceae","Trichosphaeria lichenum",NA
"Tubeufiaceae","Lichenotubeufia heterodermiae",58
