"species","counts"
"Lecanora campestris",29144
"Caloplaca saxicola",15673
"Lecanora soralifera",12192
"Myriolecis crenulata",11969
"Enterographa crassa",11596
"Caloplaca aurantia",11285
"Arthonia atra",10769
"Blennothallia crispa",9343
"Graphis elegans",9090
"Cresponea premnea",8719
"Lathagrium auriforme",8505
"Buellia ocellata",8135
"Arthonia calcarea",8076
"Enchylium tenax",7723
"Catillaria lenticularis",7334
"Porpidia soredizodes",6729
"Lecanora gangaleoides",6101
"Lepra multipuncta",5988
"Pertusaria pseudocorallina",5897
"Clathroporinopsis nidarosiensis",5881
"Anisomeridium ranunculosporum",5760
"Pyrenula macrospora",5573
"Naevia punctiformis",5503
"Arthonia vinosa",5143
"Rinodina teichophila",5032
"Snippocia nivea",4828
"Pyrenula chlorospila",4551
"Myriolecis antiqua",4345
"Stenocybe septata",4308
"Caloplaca dalmatica",4145
"Lecanora jamesii",3973
"Acrocordia conoidea",3890
"Schizotrema quercicola",3586
"Varicellaria lactea",3539
"Enterographa zonata",3515
"Zwackhia sorediifera",3477
"Mycoporum antecellens",3445
"Thelopsis corticola",3333
"Lepraria membranacea",3274
"Alyxoria culmigena",3262
"Pachnolepia pruinata",3214
"Caloplaca ruderum",3110
"Alyxoria ochrocheila",3033
"Punctelia reddenda",3021
"Coniocarpon cuspidans",2912
"Fuscidea lygaea",2890
"Caloplaca oasis",2803
"Secoliga jenensis",2736
"Micarea leprosula",2646
"Acrocordia salweyi",2586
"Lathagrium fuscovirens",2522
"Lecanora hybocarpa",2466
"Inoderma subabietinum",2448
"Lecidella asema",2419
"Stereocaulon dactylophyllum",2348
"Caloplaca flavovirescens",2286
"Ephebe lanata",2270
"Aquacidia viridifarinosa",2254
"Collema furfuraceum",2238
"Rhizocarpon richardii",2229
"Agonimia octospora",2148
"Leptogium cyanescens",2146
"Porina coralloidea",2142
"Lecidea grisella",2002
"Dichoporis taylorii",1997
"Micarea alabastrites",1994
"Leptogium burgessii",1964
"Sarcopyrenia geisleri",1881
"Myriospora rufescens",1880
"Caloplaca limonia",1866
"Lecanora helicopis",1847
"Cyrtidula quercus",1843
"Arthonia fusca",1818
"Lecania turicensis",1807
"Tomasellia gelatinosa",1790
"Lecidea lactea",1780
"Verrucaria fusconigrescens",1722
